joke,"He smiled thinly , savoring his joke ."
impudent,"The posse's retreat encouraged the Mexicans to be overbearing and impudent ."
amulet,"Oddly enough , this is an amulet against housebreakers , presented to the mem and me by a local rajah in 1949 ."
wove,"Shakespeare did not usually invent the incidents in his plays , but borrowed them from old stories , ballads , and plays , wove them together , and then breathed into them his spark of life ."
aired,"If you want to get them aired '' She said without turning her head , `` After that rain beating in atop the dust , there isn't a thing that won't be streaked '' ."
charming,"Arlene Saunders was charming as poor Gontran ."
lesion,"If this be true , the possibility exists that an occlusive lesion of the bronchial arteries might cause widespread degeneration of supportive tissue similar to that seen in generalized emphysema ."
torch,"One man , badly burned about the face and eyes by an arc welding torch , was blinded and could not find a doctor at the time ."
druncke,"A report of Sr. Edw Grevyles minaces to the Baileefe Aldermen & Burgesses of Stratforde '' tells how Quiney was injured by Greville's men : `` in the tyme Mr. Ryc' Quyney was bayleefe ther came some of them whoe beinge druncke fell to braweling in ther hosts howse wher thei druncke & drewe ther dagers uppon the hoste : att a faier tyme the Baileefe being late abroade to see the towne in order & comminge by in hurley burley came into the howse & commawnded the peace to be kept butt colde nott prevayle & in hys endevor to sticle the brawle had his heade grevouselye brooken by one of hys ( Greville's ) men whom nether hymselfe ( Greville ) punnished nor wolde suffer to be punnished but with a shewe to turne them awaye & enterteyned agayne '' ."
stead,"In his stead is a milquetoast version known as `` the corporation '' ."
dual,"Approximately four years ago , we initiated a dual ladder of advancement for technical persons ."
mouth,"His mouth fell open ."
destiny,"It was her destiny ; ; it was her life ."
monei,"Allso that if monei might be had for 30 or 40 a lease & might be procured '' ."
wrongly,"Yet , if he used all of the little means at his disposal , he would be instructing his students wrongly ."
unscramble,"Until now , Lilac Gaylor and Lila Kingsley had been like an anagram which he could unscramble at his own pace and choosing ."
unrest,"What does he conceive his role to be in this area of social unrest ?"
razing,"While a Senator , Kennedy had unsuccessfully pushed a bill to preserve the Belasco Theater , as well as the Dolley Madison and the Benjamin Taylor houses , all scheduled for razing ."
ditch,"There was nothing he could do except jump into the ditch ."
pigeon,"The surgeon came back at dusk , cut the vein of a second pigeon , again washed out the eye ."
irksome,"The family was Protestant , but for me it was only irksome and I let it go ."
slivery,"I seized the rack and made a western-style flying-mount just in time , one of my knees mercifully landing on my duffel bag -- and merely wrecking my camera , I was to discover later -- my other knee landing on the slivery truck floor boards and -- but this is no medical report ."
countrey,"Asked by the townsmen to cease his suit , Greville had answered that `` hytt shulde coste hym 500 first & sayed it must be tried ether before my Lorde Anderson in the countrey or his uncle Ffortescue in the exchequer with whom he colde more prevaile then we '' ."
discern,"He was able to discern the body lines of the Roman women under their robes ."
stumpy,"He snuck up on the ham like Maggie , gumming it with soft , stumpy teeth , then panting with thirst , lapping up the water in the lagoon , swelling up like a balloon , staggering home to be sick , while his mother said , `` That does it ."
spoilage,"Radiation does not retard the chemical spoilage of food ."
arm,"Poet rubbed his arm ."
purgation,"And we can add that Krutch's interpretation of purgation is also one answer to Plato's fear that poetry will encourage our passions ."
whip,"Do you hear the anger of the whip's whine '' ?"
hurtling,"The truck was hurtling forward ."
scurvy,"The deficiency diseases -- scurvy , tropical sprue , pellagra -- run rampant ."
luring,"Rather , it is typical of the thousands of quacks who use phony therapeutic devices to fatten themselves on the miseries of hundreds of thousands of Americans by robbing them of millions of dollars and luring them away from legitimate , ethical medical treatment of serious diseases ."
angrily,"`` Chicago has some of the best '' -- Her eyes flashed angrily ."
hamper,"The figure stopped and one hand was perilously freed from the hamper to scratch the nose ."
hailstorm,"This term was also used by the cowboy in the sense of a human showin' fight , as one cowhand was heard to say , `` He arches his back like a mule in a hailstorm '' ."
advisory,"The progress reported by the advisory committee is real ."
grant,"Socialism , I grant , has a definite place in our society ."
conjured,"The jaded amorist conjured up pictures of the blasphemous rites with relish ."
glad,"He was glad ."
tend,"First , most products tend to become more complex ."
blacking,"They advertised harness polish , liniments , Ball's Rubber Boots , Green River Whiskey , Hood's Sarsaparilla , patent medicines , shoe blacking , and chewing tobacco ."
heading,"Platform heading ."
reguli,"Let Q be a nonsingular quadric surface bearing reguli Af and Af , and let **zg be a Af curve of order K on Q ."
pyre,"Reaching for an old clay pot , relic of pioneer days , he tore the envelope in pieces , dropping them into it , touching the little pyre to flame , watching it curl , the red sealing wax melting and bubbling in the feathery ash ."
inform,"Out of it each week go hundreds of thousands of words purporting to inform home ministries about what is really happening inside Washington ."
quart,"To cure fungus growths on mouth or hands people made a strong tea by using a handful of sassafras bark in a quart of water ."
poking,"One of the children maneuvered out of range of the poking index finger ."
medal,"To Decathlon Man Rafer Johnson ( Time cover , Aug. 29 ) , whose gold medal in last summer's Olympic Games was won as much on gumption as talent , went the A.A.U."
sharpen,"Perhaps one way to sharpen our sense of the modernity of Utopian communism is to contrast it with the principal earlier types of communistic theory ."
harden,"Be sure it is well saturated and then allow it to harden ."
working,"We've been working for weeks ."
knot,"A knot of old worshippers , chiefly women , listened weekly to a sermon ."
convey,"Their gait is impossible to convey in words ."
bark,"Passing dogs were greeted with a cordial bark ."
brawle,"A report of Sr. Edw Grevyles minaces to the Baileefe Aldermen & Burgesses of Stratforde '' tells how Quiney was injured by Greville's men : `` in the tyme Mr. Ryc' Quyney was bayleefe ther came some of them whoe beinge druncke fell to braweling in ther hosts howse wher thei druncke & drewe ther dagers uppon the hoste : att a faier tyme the Baileefe being late abroade to see the towne in order & comminge by in hurley burley came into the howse & commawnded the peace to be kept butt colde nott prevayle & in hys endevor to sticle the brawle had his heade grevouselye brooken by one of hys ( Greville's ) men whom nether hymselfe ( Greville ) punnished nor wolde suffer to be punnished but with a shewe to turne them awaye & enterteyned agayne '' ."
abdomen,"A painful stab hit him in the abdomen ."
result,"The result was fortunate ."
asw,"Supporting elements in asw operations To this point the need for an over-all plan for submarine defense has been demonstrated , the mission has been stated , broad principles delineating its content laid down , and the supporting elements listed ."
septic,"In the summer of 1960 the oxidation pond became completely septic and emitted obnoxious odors ."
cent,"I never gave that boy a cent ."
glen,"She regarded them as signs that she was nearing the glen she sought , and she was glad to at last be doing something positive in her unenunciated , undefined struggle with the mountain and its darkling inhabitants ."
dynamite,"Billy returned with six sticks of dynamite ."
curtly,"`` You go to bed '' , I said curtly ."
violate,"For present purposes it may be assumed that this charge so narrowly limited speech as to violate the federal Constitution ."
quackery,"An isolated case of quackery ?"
mustard,"Flaxseed poultices and mustard plasters still are used by some persons ."
grin,"He'd grin ."
unheard,"Reprisals are not unheard of in such situations , but the recent tendency has been for the Congress to forgive its prodigal sons ."
firmly,"`` I don't want it '' , Sarah said , firmly ."
und,"It was conceived as a leave-taking , a kind of melancholy gathering-in of the myths of the West , `` bevor die Nacht sinkt , eine lange Nacht vielleicht und ein tiefes Vergessen '' ."
unlike,"And unlike other fruits , one cannot eat the skin of the avocado ."
growled,"Oso growled ."
girth,"Laguerre Hanover is outstanding in type and conformation -- good body , plenty of heart girth , stands straight on his legs on excellent feet -- and has the smoothest gait ."
leapfrog,"It is merely the latest example of the leapfrog growth which formed the pattern of virtually all American cities ."
shrinkage,"Circular knitted fabrics to be subjected to restorative procedure 2 , ( knit shrinkage gauge ) ."
splendor,"He suggests that Gore Court embodies all the glories of Tudor splendor ."
scent,"Even the stable-garage , which housed nothing now but the scent of rot , had a lawn before it ."
grit,"The curvature of this bluntness is , in the case of the Carboloy knife employed in the Hesiometer , determined by the grain sizes of the polished grit and the tungsten carbide crystals cemented together in the knife body and is in the order of 0.1 to 0.2 mil."
humanly,"My `` touchstones , had , been strictly '' literature and , humanly enough , American literature ( because that was what I wanted to write ) ."
bushel,"`` We have nothing to hide under a bushel ."
break,"Where will you break ?"
ace,"An ace of spades ."
wring,"Boston fans sometimes liked to wring some wry satisfaction out of the fact that most of the great 1923-27 crew were graduates of the Red Sox -- sold to millionaires Huston and Ruppert by a man who could not deny them their most trifling desire ."
saw,", on a table saw ."
trend,"Why the trend to plastics ?"
forgit,"I don't feel much like a maryed man but I never forgit it sofar as to court enny other lady but if I should you must forgive me as I am so forgitful '' ."
stamping,"More of this stamping down of human emotion as a young lawyer in New York ."
scampering,"Yet a crowd came out to see some fresh kids from the city try to match the boys from the neighboring farms ; ; and buggies and wagons and chugging Fords kept gathering all morning , until the edges of the field were packed thick and small boys kept scampering out on the playing field to make fun of the visitors -- whose pitcher was a formidable looking young man with the only baseball cap ."
outback,"He knows that the economy of life in the `` outback '' is awful ."
unfired,"Stained with Jacquelyn's ceramic unfired stain , polished , following manufacturer's directions ."
framing,"Save Jefferson , all participated in the framing or ratification of the Federal Constitution ."
niger,"niger , generally known as Bacillus globigii , was aerosolized using commercially available nozzles ."
volumetric,"Needless to say , the organic load was very low on a volumetric basis , but was 270 lb BOD/day/acre on a surface loading basis ."
anymore,"Things aren't that simple anymore ."
pear,"The flavor is neither sweet , like a pear , nor tart like an orange ; ; it is subtle and rather bland , nut-like ."
empty,"The bed was empty now ."
unagi,"After a supper of unagi ( rice with eel -- eel which is raised in an ice-cold pond at the foot of Mt."
gazed,"He gazed away from us as we approached ."
peculiar,"Each has its peculiar style ."
right,"He was right ."
priestly,"It was this fear which explained the development of a priestly caste whose function in society was to mollify and appease the angry deities ."
inched,"By late afternoon the train inched into the marshaling yards in the railhead at Lublin , which was filled with lines of cars poised to pour the tools of war to the Russian front ."
reality,"Surely this is a reality we all acknowledge ."
worn,"He was proud that he had never worn a wig ."
pored,"Maggie and Stuart pored over figures every night , trying to find how they could squeeze out a few pennies more ."
bangish,"That tap had a slight bangish quality ."
stupefying,"From what I was able to gauge in a swift , greedy glance , the figure inside the coral-colored boucle dress was stupefying ."
virtual,"Now omitting for a moment some recent developments we can say the Saxon Shore hypothesis of Lappenberg and Kemble has undergone virtual eclipse in this century ."
absurdly,"His fingers felt absurdly thick and clumsy ."
dominate,"A woman who dominates other family affairs will dominate the sexual relationship as well '' ."
clout,"He was naked except for a clout ."
blight,"The breakdown of social homogeneity in inner city areas and the spread of inner city blight account for the decline of central city churches ."
thwack,"Cows were kept in backyard barns , boys were hired to drive them to and from the pasture on the edge of town , and familiar to the ear , morning and evening , were the boys' coaxing voices , the thud of hooves , and the thwack of a stick on cowhide ."
blighted,"The marine commenced to weep and it blighted the sense of enjoyment ."
yet,"Not yet ."
ache,"They were poems in a strange language , of which he could barely touch a meaning -- enough to make his being ache with the desire for the fullness he sensed there ."
strongly,"The place smelled strongly of rank , fertile earth , rotting wood and urine ."
dole,"But instead of delivering the ration -- either in actual commodities or in cash -- at intervals of perhaps two weeks or a month , the Belgians felt obliged to dole it out more often ."
mince,"But State Party Chairman James Gray of Albany said no , and he didn't mince any words ."
primly,"Asked why , he replied primly : `` Because that's no activity for a gentleman '' ."
clump,"Lying in the grass behind the brush clump , Warren looked about ."
orange,"A shot of orange juice would make everything seem better ."
satire,"There is a bitter satire for a future writer in that '' ."
tumbler,"Hans poured some in a tumbler ."
holy,"There is nothing holy in wedlock ."
noise,"The noise stunned her ."
busy,"Get busy ."
almost,"We're almost there ."
blend,"There is nothing infra dig about a good blend from a good shipper ."
invade,"This does not allow the mystery to invade us ."
joint,"This was Acey Squire , proprietor of the juke joint ."
relying,"They are all suburban plants , relying on the roads to keep them supplied with workers ."
baking,"Place side by side in a 2-inch deep baking pan ."
ruh,"The song , he said , was called `` The Stream's Lullaby '' , and when he sang , `` Gute ruh , Gute ruh , Mach't die augen zu , '' there was such longing and such simple sadness that it frightened me ."
cautioned,"`` Not yet '' , cautioned Ulyate ."
mutiny,"Not a man on the brig , loyal or villainous , could be unaffected by the sight of seven men involved in the crime of mutiny ."
paying,"The U. S. Government is paying for it ."
alimony,"At the time of her divorce Forbes had promised to pay her a lump sum in lieu of further alimony if she remarried ."
credulity,"But to Welch's chagrin , the police captain pooh-poohed Welch's credulity in Barco's confession ."
blockade,"What could a blockade accomplish ?"
below,"Other methods will be described below ."
sexton,"He is the sexton of the church ."
yore,"Still another , annoyed by the brevity of a recently received missive , wrote : `` yore letter was short and sweet , jist like a roasted maget '' ."
yori,"Tommy , of course , had never heard of a kotowaza , or Japanese proverb , which says , `` Tanin yori miuchi '' , and is literally translated as `` Relatives are better than strangers '' ."
mesh,"Why does Wisman's ever-changing code always mesh with the fragments in possession of the button pushers ?"
paid,"The clerk paid them no attention ."
throwed,"This throwed the animal off balance , and over it'd crash onto its head and shoulders ."
avidly,"Beadle is even that rare scientist who takes an interest in money matters ; ; he avidly reads the Wall Street Journal , and took delight in driving a $250 model A Ford for 22 years , then selling it for $300 ."
journal,"She wrote in her journal , `` I have not heard the least profane language since I have been on board the vessel ."
cursing,"I heard Pa cursing all the way downstairs ."
bemoan,"We will know , and He will know , to whom it is rendered , what the birds would ask : not push-ups but stand-ups to the editor of the Inquirer : There is a trend today to bemoan the fact that Americans are too `` soft '' ."
cupboard,"So she fishes around in the cupboard and hauls out a chocolate cake ."
randomly,"The subjects for this study were randomly selected from stratified areas of the distribution , one-third as underachievers , one-third medium , and one-third over-achievers ."
humanize,"Among the Moliere specialists of some years ago , Louis Jouvet tried to humanize some of the clowns , while Fernand Ledoux , often performing at the Comedie , made them more gross than Moliere may have intended ."
parsley,"Antoine's held as mandatory a splash of absinthe or Pernod on the parsley or spinach which was used for the underbedding ."
ken,"Better minds than Hale's were -- and still are -- convinced that there is a society of spirits beyond our ken '' ."
calming,"When the recent Katangan outbreaks imperiled these solutions Mr. Hammarskjold , despite the danger , flew to exert a calming influence ."
metrical,"Although it does not follow the metrical rules for a blues to be sung , the phrases themselves carry a blues feeling ."
caved,"The whole fucken sky's caved in !"
doubtingly,"When I mentioned that for my first long voyage I did not even have the money for the return fare , but had trusted to luck that I would earn a sufficient amount , the young people looked at me doubtingly ."
anomie,"He has to cope with frustration and other emotional disturbance and anomie ."
demographic,"Suvorov saw in these scimitar-wielding skirmishers not demographic units but military men of a high potential ."
replying,"That after all his years of effort to become a composer , he should now , now when he was still stoutly replying to the critics of his Discourse on the Arts and Sciences , be so close to a success in music and have to reject it ."
prison,"This room was like a prison ."
butane,"Strolling down to the galley , he lit the butane under the coffee pot and when the brew was heated , poured himself a cup and went up to the chartroom ."
prai,"would procure us monei : which I will like of as I shall heare when , wheare & howe : and I prai let not go that occasion if it mai sort to ani indifferent condicions ."
stormed,"With Ritter he was exposed to the fantastic profusion of ideas that stormed through his host's fertile but disorganized mind ."
unforgivable,"Happily for posterity , then , the Boston Association did not actually command Parker to leave the room , though it came too close for comfort to what would have been an unforgivable brutality ."
card,"`` Leave a card or something ."
lurched,"He lurched on down the road despairingly , because there was no place else to go ."
soda,"For mosquito bites a paste of half a glass of salt and half a glass of soda was made ."
doc,"You'll have to go to town to see the doc '' ."
gait,"Their gait is impossible to convey in words ."
sultry,"The ballet work is on the nose , especially in the opening number by `` The New Ashmolean Marching Society and Students' Conservatory Band '' , along with a fiery and sultry Brazilian fantasia later ."
plow,"Said Leatherneck Shoup : `` A year ago I took the grips of the plow in my hands ."
septa,"The pleura is extremely thin in type 2 and septa are absent ."
voltage,"For each mass flow rate the arc voltage was measured ."
muck,"Clerks and postmasters shoveled muck out of their offices -- those who still had offices -- and wondered how to move the mail ."
shaving,"He drove sensual patterns off , carefully shaving his long upper lip ."
jungle,"The jungle did not retort ."
humped,"When cattle in winter stopped and humped their backs up they were said to `` bow up '' ."
amide,"Preliminary evidence tentatively indicates that the molecule ( metabolite 1 ) ) is cleaved at a secondary amide bond ."
twice,"Milk appears twice a day ."
rumpled,"Red thrusting out his tawny beard , Handley glowering under his suddenly rumpled black hair ."
bat,"I'll go to bat first ."
tonic,"A phony blonde hanging onto a bygone youth and beauty , but irreparably stringy in the neck , she was already working on her second gin and tonic , though it was not yet ten A.M. `` I loused it '' , Rob said , with a savage note in his voice ."
chlorine,"You need more chlorine ."
realist,"The poet was by definition a realist , his imaginings and parables being natural organizations of reality ."
milk,", in milk for example ."
unearth,"Both parties and the Ministry of the Interior were busily at work after the elections trying to unearth the political affiliations of the successful candidates and , thereby , give the elections a confidential but known degree of national political significance ."
trophy,"Now all he had to do was finish in even par to collect the trophy and the biggest single paycheck in golf ."
silo,"Grasslands would extend , unfenced , unplowed , unbroken by silo or barn -- as the first settlers saw them ."
park,"Had we taken a lien on a state park ?"
penal,"No action has been taken , however , on such major problems as ending the fee system , penal reform , modification of the county unit system and in outright banning of fireworks sales ."
penury,"In the most confidential whispers ambassadors told of techniques they had tried to bring Rooney around -- friendly persuasion , groveling abasement , pressure subtly exerted through other powerful congressmen , tales of heartbreak and penury among a threadbare diplomatic corps ."
alien,"They curl up and die at the sight of something strange and alien -- like a spaceship '' ."
hating,"The pretty little twittering WACS said he had the look of eagles -- and Penny , hating the cliche , had to admit that in this case it applied ."
truce,"The man had come floundering aboard the flat-bottomed barge at the last instant , brandishing the flag of truce ."
island,"Special districts in Rhode island ."
simply,"It was simply Poor John ."
sneak,"`` By God , it's that damn Handley , the sneak '' !"
emit,"Once covertly looking at Simms Purdew , the only man in the world whom he hated , he had seen the heavy , slack , bestubbled jaw open and close to emit the cruel , obscene banter , and had seen the pale-blue eyes go watery with whisky and merriment , and suddenly he was not seeing the face of that vile creature ."
brow,"She seemed overly tall , her brow knitted in concern ."
tipsy,"Against all expectation , Carmer was inside , clearly enjoying himself to the hilt and already so tipsy that it seemed unlikely he was bothering to note anything or anyone about him ."
barely,"He barely knew himself ."
fogy,"You realize you are getting in the old fogy class ."
wedlock,"There is nothing holy in wedlock ."
gradient,"The deep concave gradient employed ( fig."
water,"Hot water ."
shag,"She always could sense the shag end of a woolly day ."
undo,"Since we can neither undo nor redo the past , we are limited to the events of today and tomorrow ."
molesting,"Though his inner thoughts cringed at it , he forced himself to think back , recreating the scene in which Mae claimed to have caught him molesting the child ."
homerun,"7 to be not only the best homerun hitter , but also the best bunter , base-runner and outfielder ."
violet,"He looked out through windowpanes turned a faint violet by sun and weather , looked out at King's Bridge toward Westchester ."
probed,"The more I probed into this young man's activities and character , the less savory I found him ."
purchasing,"Is your purchasing agent offering too much free-buying service for employees ?"
bashful,"He is no dextrous-fingered college boy but rather a dedicated , humble , and bashful apostle of this instrument ."
plunged,"He had plunged into the dark woods beyond ."
source,"Boils have always been a source of much trouble ."
monacle,"Mercer is supposed to have refused it with , `` Anyone who wears a square monacle must be affected '' !"
ranch,"He wants your ranch '' ."
curtail,"What can your sales and purchasing departments do to curtail orders , shipments , and receipts during vacation shutdown periods ?"
blocky,"Curly hair , high cheekbones , wide gnomelike mouth , a pair of drummer's blocky hands , and a body that said well , maybe I can wrestle you for ten minutes -- but then I'm finished ."
privet,"Instead of the usual straggling privet hedges and patches of bare dirt in most small-town squares , the building was hemmed in by a semitropical growth of camellias and azaleas and a smooth lawn the improbably bright-green shade of florist's grass ."
tubing,"Pyrex tubing of 1 mm."
pacer,"Blistered for curbs and laid off three weeks , he is coming along fine and looks like a pacer to me ."
with,"( 6 ) with Af ."
pruned,"Like a wise gardener , Hardy pruned away the Shakespearian sonnets and songs , and the elements of meter and poetic diction to which his personal style was not suited , and let the main stock of his talent flourish ."
lurking,"If there is a moral lurking among the shenanigans , it is hard to find ."
gaze,"Alexander shifted his gaze to Spencer ."
parted,"Her lips , moist and parted , spoke his name ."
frosty,"As daylight began to show through the frosty windows , Fogg would place a call to William A. Shaw at the U. S. Weather Station at Northfield , Vermont , for temperature and wind-velocity readings ."
yon,"It would challenge sharply not the cult of the motor car itself but some of its ancillary beliefs and practices -- for instance , the doctrine that the fulfillment of life consists in proceeding from hither to yon , not for any advantage to be gained by arrival but merely to avoid the cardinal sin of stasis , or , as it is generally termed , staying put ."
arsenic,"And there was the case of Tom Hepker , a machinist , who was referred by a friend to a health machine quack who treated him with a so-called diagnostic machine for what Doctor Fraud said was a system full of arsenic and strychnine ."
driveway,"A car pulled into the driveway outside the window ."
loped,"A bunch of young buckaroos from out West , who go by the name of Texas Boys Choir , loped into Town Hall last night and succeeded in corralling the hearts of a sizable audience ."
gratify,"Washington castigated his critic , General Conway , as being capable of `` all the meanness of intrigue to gratify the absurd resentment of disappointed vanity '' ."
duration,"This objective is adhered to throughout the duration of the action ."
amusingly,"`` How The Kooks Crumble '' features an amusingly accurate take-off on sneaky announcers who attempt to homogenize radio-TV commercials , and `` The Watchers Of The Night '' is a veritable waking nightmare ."
infect,"The concentration and apparent localization of the WTV antigen in pseudophloem tissue of the tumor may indicate that the virus preferentially multiplies in the phloem and may need to be directly placed in this tissue in order to infect plants ."
youth,"`` Another youth , Madame '' ?"
guild,"Anne picked up the towel she was hemming for the hospital guild ."
video,"This dissatisfaction led to Howsam's request that the video not be terminated before the end of the game ."
swanky,"To climax her Roman revels , she was thrown out of the swanky Hotel Excelsior after she had run naked through its marble halls screaming for help ."
dowry,"As he went out he told Freddie the dinner was perfect , and when he got his hat and coat from Nancy Parks and put a fifty-cent piece in the slot , he told her to be sure that it went toward her dowry ."
masterly,"The beautiful , the satisfying part of his disintegration , however , was the masterly way the Buddha polished him off ."
coupler,"Hence , the Af factor for the output fiber coupler is Af ."
modular,"The theory The idea behind our design is modular units , or panelization ."
spidery,"The debris of his other careers was piled everywhere ; ; a pile of wire cages for mice from his time as a geneticist and a microscope lying on its side on the window sill , vertical steel columns wired for support to the open ceiling beams with spidery steel cantilevers jutting out into the air , masonry constructions on the floor from the time he was inventing his disastrous fireplace whose smoke would pass through a whole house , visible all the way up through wire gratings on each floor ."
set,"I'm all set ."
cobalt,"The Belgians were interested primarily in the economic development of the Congo , which is rich in copper , tin , cobalt , manganese , zinc , and uranium , and cotton and palm oil ."
began,"He began sweating ."
dualism,"And with this point about the passions , we encounter Plato's dualism ."
frantic,"`` I'm absolutely frantic !"
airlock,"Ekstrohm smiled , and followed the captain through the airlock with only a glance at the lapel gauge on his coverall ."
folksy,"There is a New South emerging , a South losing the folksy traditions of an agrarian society with the rapidity of an avalanche -- especially within recent decades ."
progandist,"To both the amateur and the commercial progandist the analyst lacks a soul , lacks appreciation with his endless probings and classifications ."
overnight,"`` Yes , I'll get one overnight a month '' ."
witch,"There were no witch burnings here because everyone had a witch in the family ."
chambre,"`` That was the fille de chambre , the one you thought couldn't get the eggs out ."
birthed,"Yet he knew the others were sleeping more soundly , now that they had renewed their contact with the matter that had birthed them to send them riding high vacuum ."
stir,"He didn't stir ."
playing,"`` What are you playing '' ?"
simulate,"Five of the tests were conducted with a polyethylene cover to simulate an ice cover ."
abruptly,"The cloudburst cut off abruptly ."
factory,"The Cen-Tennial Gin Supply Co. has home offices and factory facilities here ."
document,"This document began : `` No."
crushing,"Most of the impact energy is spent in crushing and fragmentation ."
thief,"He called Pike a thief ."
windstorm,"The presence or lack of access by road or trail has a direct and controlling influence on all phases of forest management and utilization such as : ( A ) the protection of forage , timber , and wildlife resources from fire , insects , and disease ; ; ( B ) the balanced use of recreation , hunting , and fishing areas ; ; ( C ) the volume of timber that can be marketed , especially for small sales and the support of dependent communities and small business enterprises ; ; ( D ) the level of salvage cutting in dead and dying timber stands and the opportunity to promptly salvage losses resulting from fire , windstorm , insects , and disease ; ; ( E ) the protection of watershed lands from erosion and overgrazing by animals ."
escorting,"`` While Henry Morgan was escorting Miss Vera Green from the church social last Saturday night , a savage dog attacked them and bit Mr. Morgan on the public square '' ."
blunt,"Alec's face was dark , blunt , and sulky ."
joking,"Oh you're joking ."
thawed,"The sections were then thawed by placing a finger under the slide and dried under a fan for 30 minutes ; ; until used they were stored for as long as 2 weeks ."
arch,"Then Julia appeared under the arch leading to the dining room ."
map,"There was no valley like this on your map ."
sublimate,"Or in more Freudian terms , the experience may serve to sublimate our destructive urges and strengthen the ego and superego ."
winsome,"Krim's ( aesthetic combines anti-intellectualism , conscious and unconscious naivete ) '' , and a winsome reliance `` upon the '' , natural and upon experience ."
algorithm,"A moment's reflection shows that the above algorithm and presentation work equally well in this case ."
thud,"Andy felt his heart thud heavily with relief ."
piano,"Fiddles screeched ; ; a piano tinkled ."
construed,"The colonel grunted , then made a remark which might be construed in either of two ways ."
gap,"But there remained one mysterious , unexplored gap , far to the north ."
stockade,"He darted inside the stockade and freed the horses there ."
purify,"But one night Dookiyoon moved in the direction of the women's lodge , where Shades of Night had gone to purify herself ."
priced,"As the plans were laid , some several thousand fat cats were to be ensconced in the armory's $100 seats and in 68 ringside boxes priced at $10,000 each ."
salute,"This was composed last year as a salute to the automobile industry ."
hoarsely,"`` Look , Lord '' , he said hoarsely ."
bowl,"This will form the sugar bowl ."
onset,"The mean onset age was 25.3 months ( Table 1 ) , and the average Span of the osseous stage was 133 months ."
chowder,"I had a bowl of decent chowder , phoned the Doc and he said he'd leave the death statements with his girl -- in a half hour ."
downstream,"The ball floated downstream ."
fixed,"Comfortably fixed ."
cater,"Almost all of the 3,000 lumber dealers who cater primarily to the new-house market and supply 90% of this year's new houses are mechanized ."
costumed,"There are other good representations of peasants and people of the court by actors who are finely costumed and magnificently photographed in this last of the Russian films to reach this country in the program of joint cultural exchange ."
mingled,"Fear and relief mingled in his churning emotions ."
hop,"The new Riverside pitcher turned out to have an overhand fast ball that took a hop ."
goad,"Ben Prime extended his high-stepped stride until he could lay his goad across the noses of the oxen ."
rescuing,"Faust rescuing Helen from Menelaus' vengeance is the genius of renaissance Europe restoring to life the classic tradition ."
vast,"Tibet is too vast , the terrain is too difficult ."
advisor,"Our technical assistance to these countries should place special emphasis on inducing the central governments to assume the role of advisor and guide which at an earlier stage foreign experts assumed in dealing with the central governments ."
creating,"`` But , Rabbi Melzi , you don't object to others creating works of art '' ?"
shockingly,"Now , everyone knows -- or knew in the week of December 10 -- that something had gone shockingly wrong with American foreign policy ."
taper,"We'll work out about an hour on Saturday , then we'll work Monday and Tuesday of next week , then taper off '' ."
ago,"That was nearly 13 years ago ."
outsider,"I'm an outsider ."
straw,"Winston had the big straw basket ready in the hall ."
thicker,"Even his neck seemed thicker and , therefore , shorter ."
wry,"( A wry sidelight on this is that most of my students have deferments from the draft in order to attend my classes . )"
private,"Mr. Ferrell is a private detective , Hirey ."
kelp,"Miss Colman hopes to find suitable shakers so that kelp can be available at the tables ."
lake,"Walking along the lake before breakfast , Mr. Podger had seen the feather , and the bird that had lost it in flight ."
polecat,"This word was from the Spanish , meanin' `` polecat '' ."
migrated,"The old woman had a nephew from North Italy , a poor boy from a lumber mill who had got tired of the seasonal unemployment , and who had migrated to Canada to work on the railway ."
dung,"I decided I hated the Pedersen kid too , dying in our kitchen while I was away where I couldn't watch , dying just to entertain Hans and making me go up snapping steps and down a drafty hall , Pa lumped under the covers at the end like dung covered with snow , snoring and whistling ."
equality,"Relativism and equality are its characteristic diseases ."
reply,"George did not reply ."
glue,"Plank the sides first , using glue and one-inch , No."
cargo,"So the vile cargo went into the hole of the John Harvey ."
side,"More : On the free world side ."
zing,"Zing was the creation of two men , Louis Thor and Bill Blake , partners in zing !"
plenary,"Their joint statement was welcomed by the Western delegations who will attend tomorrow the nineteenth plenary session of the fourteen-nation conference on the future of Laos ."
owl,"Wasn't the owl her symbol '' ?"
infer,"If the mechanics are similar , we can also infer that the thermodynamics will also be similar ."
bump,"Why didn't the damn Reactionaries bump him off ?"
wide,"The bullet went wide ."
bolster,"The redcoat officer collapsed like a punctured bolster , and the horse reared and threw him from the saddle , except that one booted foot caught in the stirrup ."
coating,"Af is the force required to cut a coating of thickness T from the substrate ."
yonder,"He had crossed the river which now , beyond the woods yonder , was sliding darkly under the mist ."
power,"America possesses an enormous defense power ."
talked,"Rachel talked to him ."
glaze,"Glaze with two coats of clear or transparent matt glaze ."
bleaching,"Chapter 10 New York lay bleaching in the summer sun , and the morning fish hawk , flying in the heated air , saw below him the long triangular wedge of Manhattan Island ."
blacked,"The Denver-area TV audience was privileged to see Mays' four home runs , thanks to a new arrangement made by Bob Howsam that the games are not to be blacked out when his Bears are playing at home ."
smacked,"Then , in the fifth , Anniston's kid catcher caught onto a curve and smacked the ball into left center field ."
